State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Himachal Pradesh,Kullu,Kullu,Cabbage,Other,FAQ,07/04/2024,1600,2000.0,1800
Himachal Pradesh,Kullu,Kullu,Cauliflower,Other,FAQ,07/04/2024,1000,1600.0,1200
Himachal Pradesh,Kullu,Kullu,Cucumbar(Kheera),Other,FAQ,07/04/2024,2200,2700.0,2500
Himachal Pradesh,Kullu,Kullu,Potato,Other,FAQ,07/04/2024,1700,1900.0,1800
Himachal Pradesh,Kullu,Kullu,Squash(Chappal Kadoo),Other,FAQ,07/04/2024,1800,2000.0,1900
Jammu and Kashmir,Kathua,Kathua,Cabbage,Other,FAQ,07/04/2024,1400,1800.0,1600
Jammu and Kashmir,Kathua,Kathua,Mashrooms,Mashrooms,FAQ,07/04/2024,12000,13000.0,12500
Jammu and Kashmir,Kathua,Kathua,Pumpkin,Other,FAQ,07/04/2024,2000,2200.0,2100
Karnataka,Raichur,Lingasugur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,07/04/2024,10380,10650.0,10401
Karnataka,Raichur,Lingasugur,Cowpea (Lobia/Karamani),Cowpea (Whole),FAQ,07/04/2024,7300,7300.0,7300
Kerala,Alappuzha,Cherthala,Ashgourd,Other,FAQ,07/04/2024,1600,1800.0,1700
Kerala,Alappuzha,Cherthala,Banana,Palayamthodan,Large,07/04/2024,2900,3100.0,3000
Kerala,Alappuzha,Cherthala,Galgal(Lemon),Galgal(Lemon),FAQ,07/04/2024,5800,6000.0,5900
Kerala,Alappuzha,Cherthala,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,07/04/2024,8500,8700.0,8600
Kerala,Alappuzha,Cherthala,Potato,Other,FAQ,07/04/2024,3200,3400.0,3300
Kerala,Alappuzha,Harippad,Ashgourd,Other,FAQ,07/04/2024,1500,2000.0,1500
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,07/04/2024,6000,6500.0,6000
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,07/04/2024,5000,5500.0,5000
Kerala,Alappuzha,Harippad,Drumstick,Other,FAQ,07/04/2024,3000,3400.0,3000
Kerala,Ernakulam,Mazhuvannur,Banana,Palayamthodan,Large,07/04/2024,800,1500.0,1200
Kerala,Ernakulam,Mazhuvannur,Banana,Robusta,Large,07/04/2024,1900,2000.0,2000
Kerala,Ernakulam,Mazhuvannur,Bottle gourd,Bottle Gourd,FAQ,07/04/2024,500,3200.0,1000
Kerala,Ernakulam,Mazhuvannur,Papaya,Other,Large,07/04/2024,1200,3700.0,2300
Kerala,Ernakulam,Mazhuvannur,Snakeguard,Other,FAQ,07/04/2024,800,1200.0,1000
Kerala,Ernakulam,Perumbavoor,Bitter gourd,Bitter Gourd,FAQ,07/04/2024,5000,6000.0,5500
Kerala,Ernakulam,Perumbavoor,Coconut Seed,Coconut Seed,FAQ,07/04/2024,2800,3800.0,3000
Kerala,Ernakulam,Perumbavoor,Ginger(Dry),Dry,FAQ,07/04/2024,35000,36000.0,35500
Kerala,Ernakulam,Perumbavoor,Lemon,Lemon,FAQ,07/04/2024,9500,10500.0,10000
Kerala,Ernakulam,Thrippunithura,Bottle gourd,Bottle Gourd,FAQ,07/04/2024,4000,5000.0,4200
Kerala,Ernakulam,Thrippunithura,Cabbage,Cabbage,FAQ,07/04/2024,4000,5000.0,4200
Kerala,Ernakulam,Thrippunithura,Cowpea(Veg),Cowpea (Veg),FAQ,07/04/2024,3500,5000.0,3700
